Robot,Embodiment,Mobility,Total number of dof,Manipulator type,DoF Manipulator,Height,Length,Width,Diameter,Weight,Shell material type,Color pallete,Applications,Target user group,Commercially available,Social Software Capabilities,Sensors,Interaction modalities,Face,Software Extension Capability,total number of associated papers,year,robot number,modality number
MIRob,['hybrid'],fully-mobile,10,functional,8,1100,,,,-1,"['hard', 'partial', 'undressed']","['black', 'white', 'red']",['service'],"['research groups', 'general public']",not available,"['speech recognition', 'speech synthesis', 'autonomous navigation']","['ultrasonic', 'bumper', 'camera', 'microphone']","['speech', 'body movement']",['x'],not mentioned ,2,2016,25,2
Dance Teaching Robot,['hybrid'],fully-mobile,4,n/a,0,1800,,,,80,['none'],"['black', 'metallic']",['education'],['general public'],not available,"['compliant actuation', 'learning abilities']","['force', 'camera']","['body movement', 'lights']",['LED features'],not mentioned ,2,2017,20,2
Blossom,['animal-like'],on-spot mobile,,n/a,0,,,,,-1,"['fabric', 'full', 'undressed']",['variable'],"['research', 'education']","['research groups', 'children', 'general public']",open-source,['preprogrammed behaviors'],['x'],['body movement'],['x'],library/API available,2,2017,20,1
Robot Patient,['humanoid'],on-spot mobile,14,gesture,10,1580,,,,32,"['hard', 'soft', 'full', 'dressed']","['light skin tone', 'variable']",['education'],['general public'],not available,"['preprogrammed behaviors', 'speech recognition']","['microphone', 'force']","['tactile', 'speech', 'body movement']",['static'],not mentioned ,2,2017,20,3
Cellulo,['abstract'],fully-mobile,,n/a,0,,,,75,-1,"['hard', 'full', 'undressed']",['white'],['education'],['children'],not available,"['autonomous navigation', 'compliant actuation']","['camera', 'touch']","['lights', 'body movement', 'tactile']",['x'],interface available ,2,2017,20,3
TheraBot,['animal-like'],on-spot mobile,10,n/a,0,,,,,-1,"['fabric', 'full', 'undressed']","['white', 'brown', 'black']",['healthcare'],['general public'],not available ,"['sound localization', 'preprogrammed behaviors', 'gesture recognition']","['microphone', 'touch']","['sound', 'tactile', 'body movement', 'head movement']",['static'],"support ROS, library/API available ",2,2018,22,4
cARe-bot ,['abstract'],on-spot mobile,5,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black']","['healthcare', 'education', 'service']","['children', 'elderly', 'general public']",not available,"['autonomous navigation', 'speech recognition']",['depth camera'],"['head movement', 'projection']",['x'],not mentioned ,2,2018,22,2
SypeHUL,['hybrid'],on-spot mobile,12,n/a,0,,,,,-1,"['hard', 'partial', 'undressed']","['yellow', 'red', 'blue']",['research'],['research groups'],not available ,['face recognition'],['camera'],['facial expression'],['fully-actuated'],not mentioned ,2,2018,22,1
Tabot,['hybrid'],on-spot mobile,14,functional,-1,,,,,-1,"['hard', 'partial', 'undressed']","['red', 'white', 'black', 'blue']",['education'],['research groups'],not available ,['preprogrammed behaviors'],"['camera', 'touch']","['eye movement', 'touch screen', 'gesture']",['screen'],not mentioned ,2,2019,13,3
Pioneer 3DX,['mechanoid'],fully-mobile,2,n/a,0,240,450,380,,9,"['hard', 'full', 'undressed']","['red', 'black']",['telepresence'],['general public'],available ,['preprogrammed behaviors'],"['ultrasonic', 'laser', 'bumper']",['body movement'],['x'],not mentioned ,1,1995,1,1
Care-o-bot,['humanoid'],fully-mobile,12,functional,10,1450,750,550,,180,"['hard', 'full', 'undressed']","['grey', 'white']",['service'],"['research groups', 'corporations']",available ,"['autonomous navigation', 'speech recognition', 'speech synthesis']","['laser', 'depth camera', 'touch']","['lights', 'screen', 'speech', 'body movement', 'screen']",['x'],support ROS,1,1998,4,5
Papero,['biomimetic'],fully-mobile,20,n/a,0,385,282,251,,6.5,"['hard', 'full', 'undressed']","['white', 'variable']","['service', 'entertainment', 'healthcare']","['general public', 'elderly', 'children']",used to be available,"['speech synthesis', 'speech recognition', 'face recognition', 'sound localization', 'autonomous navigation']","['microphone', 'ultrasonic', 'touch', 'camera']","['tactile', 'speech', 'head movement', 'lights']",['back-projected'],library/API available,1,2001,3,4
Coyote,['mechanoid'],fully-mobile,1,n/a,0,1000,,,508,-1,"['hard', 'full', 'undressed']",['black'],['research'],"['general public', 'research groups']",available ,"['object recognition', 'speech recognition']","['laser', 'camera', 'force', 'IR', 'touch', 'bumper']","['speech', 'gesture']",['x'],support ROS,1,2001,3,2
ROBISUKE,['hybrid'],fully-mobile,24,gesture,-1,1000,,,,40,"['hard', 'full', 'undressed']","['grey', 'red', 'blue']",['research'],['research groups'],not available,"['speech recognition', 'speech synthesis', 'sound localization', 'eye tracking', 'face recognition', 'gesture recognition', 'learning abilities']","['depth camera', 'laser', 'microphone']","['body movement', 'speech', 'head movement', 'eye movement']",['fully-actuated'],not mentioned,1,2003,7,4
Roboceptionist,['humanoid'],non-mobile,0,n/a,0,,,,,-1,"['hard', 'partial', 'dressed']",['light skin tone'],['service'],['research groups'],not available,"['preprogrammed behaviors', 'speech synthesis']",['laser'],"['speech', 'screen', 'facial expression']",['screen'],not mentioned ,1,2003,7,3
ROBO-eLC,['humanoid'],on-spot mobile,,gesture,-1,,,,,-1,"['hard', 'full', 'dressed']",['light skin tone'],['education'],"['children', 'general public']",not available,"['speech recognition', 'speech synthesis']","['touch', 'microphone']","['touch screen', 'speech']",['static'],not mentioned,1,2003,7,2
Labo-1,['mechanoid'],fully-mobile,2,n/a,0,150,380,280,,6.5,"['hard', 'full', 'undressed']",['metallic'],['research'],['research groups'],available ,['preprogrammed behaviors'],"['temperature', 'IR']",['body movement'],['x'],not mentioned ,1,2003,7,1
ApriAlpha,['biomimetic'],fully-mobile,,n/a,0,420,,,380,9.5,"['hard', 'full', 'undressed']",['white'],['service'],['general public'],available,"['autonomous navigation', 'face recognition', 'speech recognition', 'learning abilities', 'sound localization', 'speech synthesis']","['camera', 'ultrasonic']","['speech', 'head movement', 'body movement']",['partly-actuated'],not mentioned ,1,2004,11,3
Nuvo,['humanoid'],fully-mobile,,gesture,-1,38,,,,2.5,"['hard', 'full', 'undressed']",['metallic'],"['service', 'entertainment']",['general public'],used to be available,"['preprogrammed behaviors', 'speech recognition']","['camera', 'microphone']","['speech', 'body movement', 'lights']",['back-projected'],not mentioned,1,2004,11,3
Robovie M ,['hybrid'],fully-mobile,22,gesture,8,290,,,,-1,['none'],"['black', 'blue']",['entertainment'],['general public'],used to be available,['preprogrammed behaviors'],['x'],"['body movement', 'gesture']",['x'],interface available ,1,2004,11,2
DB,['hybrid'],fully-mobile,30,functional,14,1850,,,,-1,"['hard', 'partial', 'undressed']","['black', 'clear']",['research'],['research groups'],used to be available,['undisclosed'],['camera'],"['gesture', 'body movement']",['static'],not mentioned ,1,2004,11,2
BEAR,['hybrid'],fully-mobile,20,functional,12,1956,,915,,181.4,"['hard', 'partial', 'undressed']","['grey', 'metallic', 'black']",['service'],['corporations'],not available,"['speech recognition', 'object recognition', 'teleoperation']","['IR', 'camera', 'microphone']",['body movement'],['static'],not mentioned,1,2004,11,1
MOBIMac,['mechanoid'],fully-mobile,2,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['grey', 'pink']","['entertainment', 'research']",['research groups'],not available,"['autonomous navigation', 'face recognition', 'speech recognition', 'object recognition', 'learning abilities']","['camera', 'microphone', 'ultrasonic']","['speech', 'body movement', 'screen']",['screen'],not mentioned,1,2005,20,3
REEM,['humanoid'],fully-mobile,26,functional,22,1700,,,,90,"['hard', 'full', 'undressed']","['white', 'black']","['research', 'service']","['research groups', 'general public']",used to be available,"['autonomous navigation', 'speech recognition', 'speech synthesis', 'compliant actuation', 'face recognition', 'learning abilities', 'compliant actuation']","['camera', 'microphone', 'ultrasonic', 'laser']","['body movement', 'gesture', 'speech', 'touch screen']",['static'],support ROS,1,2005,20,4
Robonova,['hybrid'],fully-mobile,16,gesture,-1,310,180,90,,1.3,"['hard', 'partial', 'undressed']","['metallic', 'black']",['entertainment'],['general public'],used to be available,"['teleoperation', 'preprogrammed behaviors']",['x'],"['body movement', 'head movement', 'gesture']",['static'],library/API available,1,2005,20,3
Huggable,['animal-like'],on-spot mobile,8,gesture,2,,,,,-1,"['fabric', 'full', 'undressed']",['variable'],['healthcare'],"['elderly', 'children']",not available,['undisclosed'],['touch'],"['speech', 'gesture', 'tactile']",['static'],not mentioned ,1,2005,20,3
B21r,['mechanoid'],fully-mobile,,n/a,0,520,,,1180,-1,"['hard', 'full', 'undressed']",['red'],['research'],['research groups'],used to be available,"['speech recognition', 'face recognition', 'autonomous navigation']","['laser', 'ultrasonic', 'camera', 'IR', 'bumper', 'microphone']",['body movement'],['x'],support ROS,1,2005,20,1
MARY,['hybrid'],fully-mobile,8,functional,8,,,,,-1,"['soft', 'partial', 'undressed']",['blue'],['research'],['research groups'],not available,"['object recognition', 'speech recognition', 'speech synthesis', 'compliant actuation']","['camera', 'depth camera', 'microphone', 'bumper']","['body movement', 'speech']",['static'],not mentioned,1,2005,20,2
RoboX,['mechanoid'],fully-mobile,5,n/a,0,1650,,,900,115,"['hard', 'partial', 'undressed']",['metallic'],['service'],['general public'],not available ,"['face recognition', 'speech recognition']","['laser', 'bumper', 'camera', 'microphone']","['speech', 'body movement', 'eye movement', 'facial expression']",['fully-actuated'],interface available ,1,2005,20,4
EveR,['android'],on-spot mobile,62,gesture,44,,,,,60,"['soft', 'full', 'dressed']",['light skin tone'],['education'],['general public'],not available,"['preprogrammed behaviors', 'speech recognition', 'speech synthesis']",['camera'],"['speech', 'gesture', 'facial expression']",['fully-actuated'],not mentioned ,1,2006,19,3
AMI2,['hybrid'],fully-mobile,36,functional,22,1500,,,,45,"['hard', 'partial', 'undressed']","['white', 'black']",['research'],['research groups'],not available,"['face recognition', 'speech recognition', 'emotion recognition']","['camera', 'force']",['speech'],['back-projected'],not mentioned ,1,2006,19,1
Manoi,['humanoid'],fully-mobile,17,gesture,6,340,310,204,,1.4,"['hard', 'full', 'undressed']","['white', 'black']","['research', 'entertainment']",['general public'],used to be available,"['preprogrammed behaviors', 'teleoperation']",['x'],['body movement'],['LED features'],interface available ,1,2006,19,1
Spykee,['hybrid'],fully-mobile,,gesture,-1,,,,,0.86,"['hard', 'full', 'undressed']","['white', 'green', 'grey']",['entertainment'],['general public'],used to be available,['teleoperation'],"['camera', 'microphone']",['body movement'],['static'],library/API available ,1,2006,19,1
Netoy,['humanoid'],on-spot mobile,,n/a,0,200,120,110,,0.5,"['hard', 'full', 'undressed']","['light skin tone', 'orange', 'grey']","['service', 'entertainment']",['general public'],used to be available,['preprogrammed behaviors'],"['microphone', 'touch']","['speech', 'lights', 'body movement', 'touch screen']",['back-projected'],not mentioned,1,2006,19,4
ARMAR-III,['hybrid'],fully-mobile,43,functional,30,700,,,,30,"['hard', 'partial', 'undressed']","['blue', 'grey']","['service', 'research']","['general public', 'research groups']",not available,"['speech recognition', 'autonomous navigation', 'object recognition', 'face recognition', 'learning abilities']","['microphone', 'camera', 'laser']","['body movement', 'head movement', 'eye movement']",['partly-actuated'],not mentioned,1,2006,19,3
RS Media,['humanoid'],fully-mobile,11,functional,-1,,300,,,6.86,"['hard', 'full', 'undressed']","['metallic', 'orange']","['research', 'entertainment', 'service']","['general public', 'research groups']",used to be available,"['object recognition', 'preprogrammed behaviors']","['touch', 'camera', 'microphone', 'IR']","['body movement', 'gesture', 'sound', 'lights', 'screen']",['LED features'],library/API available,1,2006,19,5
Haile,"['humanoid', 'abstract']",on-spot mobile,2,functional,2,,,,,-1,"['hard', 'partial', 'undressed']",['brown'],['entertainment'],['general public'],not available,['preprogrammed behaviors'],['microphone'],"['sound', 'body movement']",['static'],not mentioned ,1,2006,19,2
Nexi,['hybrid'],fully-mobile,45,gesture,22,1750,560,635,,168,"['hard', 'partial', 'undressed']","['white', 'metallic']",['research'],['research groups'],available ,"['autonomous navigation', 'sound localization', 'speech recognition', 'speech synthesis', 'preprogrammed behaviors']","['camera', 'depth camera', 'laser', 'microphone', 'IR']","['speech', 'speech', 'body movement', 'facial expression']",['fully-actuated'],not mentioned,1,2006,19,4
Wabian,['hybrid'],fully-mobile,41,functional,20,1530,,,,64.5,"['hard', 'partial', 'undressed']","['white', 'metallic', 'red']",['research'],['research groups'],not available,"['preprogrammed behaviors', 'autonomous navigation']",['x'],"['body movement', 'head movement', 'gesture']",['static'],not mentioned,1,2006,19,3
RIMAN,['humanoid'],fully-mobile,18,functional,12,,,,,-1,"['hard', 'soft', 'full', 'undressed']",['blue'],"['healthcare', 'service']","['research groups', 'patients']",not available,"['sound localization', 'face recognition', 'speech recognition', 'gesture recognition', 'smell discernment']","['touch', 'force', 'gas']","['tactile', 'body movement', 'gesture', 'head movement']",['static'],not mentioned ,1,2006,19,4
Geminoid Hi-1,['android'],fully-mobile,50,gesture,16,1650,,380,,-1,"['hard', 'soft', 'full', 'dressed']",['light skin tone'],['research'],"['research groups', 'general public']",not available,"['face recognition', 'gesture recognition', 'speech recognition', 'teleoperation']","['camera', 'microphone', 'touch']","['head movement', 'eye movement', 'facial expression', 'speech']",['fully-actuated'],not mentioned,1,2006,19,4
Twendyone,['humanoid'],fully-mobile,51,functional,40,1467,,734,,111,"['hard', 'full', 'undressed']","['white', 'red']",['service'],['general public'],not available,"['compliant actuation', 'autonomous navigation', 'preprogrammed behaviors', 'speech recognition', 'speech synthesis', 'object recognition', 'face recognition']","['depth camera', 'ultrasonic', 'touch', 'force']","['tactile', 'gesture', 'body movement', 'head movement']",['fully-actuated'],not mentioned,1,2007,14,4
TIRO,['humanoid'],fully-mobile,7,gesture,6,1300,,600,,70,"['hard', 'full', 'undressed']","['white', 'green', 'black']",['education'],['children'],used to be available,"['speech recognition', 'speech synthesis', 'preprogrammed behaviors']","['camera', 'ultrasonic', 'bumper']","['body movement', 'gesture', 'head movement', 'facial expression', 'speech', 'screen']",['LED features'],not mentioned ,1,2007,14,6
Robota,"['humanoid', 'hybrid']",fully-mobile,5,gesture,2,450,,140,,1.5,"['hard', 'partial', 'undressed']",['light skin tone'],['healthcare'],['children'],used to be available,"['pose tracking', 'speech recognition', 'speech synthesis', 'teleoperation']","['IR', 'microphone', 'camera']","['speech', 'sound', 'head movement', 'body movement', 'eye movement']",['partly-actuated'],not mentioned,1,2007,14,5
BARTHOC,['hybrid'],on-spot mobile,41,gesture,6,750,,650,,-1,"['soft', 'partial', 'undressed']","['metallic', 'white']",['research'],['research groups'],not available,"['speech recognition', 'pose tracking', 'object recognition', 'speech synthesis']","['camera', 'microphone']","['speech', 'head movement', 'eye movement', 'facial expression']",['fully-actuated'],not mentioned ,1,2007,14,4
Doldori,['humanoid'],on-spot mobile,7,n/a,0,,,,,-1,"['hard', 'partial', 'dressed']","['light skin tone', 'red', 'brown']",['research'],['children'],not available,['WoZ'],['x'],"['facial expression', 'eye movement']",['LED features'],not mentioned ,1,2007,14,2
Phyno,['humanoid'],on-spot mobile,6,gesture,2,340,210,260,,3,"['hard', 'full', 'undressed']","['grey', 'black']",['service'],['general public'],used to be available,"['speech recognition', 'object recognition']","['camera', 'microphone']","['gesture', 'head movement', 'speech', 'lights']",['screen'],not mentioned,1,2007,14,4
Cubo,['humanoid'],fully-mobile,,gesture,-1,230,150,160,,1.2,"['hard', 'full', 'undressed']","['white', 'grey']","['service', 'entertainment']",['general public'],used to be available,['preprogrammed behaviors'],"['camera', 'microphone']","['touch screen', 'lights', 'speech']",['back-projected'],not mentioned,1,2007,14,3
Kumotek KT-X Gladiator Robot,['hybrid'],fully-mobile,19,gesture,6,,,,,1.3,"['hard', 'partial', 'undressed']","['white', 'black']",['entertainment'],['general public'],available ,['preprogrammed behaviors'],['x'],"['body movement', 'gesture']",['static'],not mentioned,1,2008,10,2
Simon,['hybrid'],on-spot mobile,22,functional,22,,,,,-1,"['hard', 'partial', 'undressed']","['white', 'metallic']",['research'],['research groups'],not available,"['speech recognition', 'face recognition', 'speech synthesis']","['camera', 'depth camera', 'microphone']","['body movement', 'speech', 'facial expression']",['partly-actuated'],not mentioned,1,2008,10,3
Rola,['hybrid'],fully-mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['metallic', 'black']",['service'],['elderly'],not available,"['face recognition', 'autonomous navigation', 'pose tracking']","['camera', 'laser', 'touch']","['body movement', 'touch screen']",['static'],not mentioned ,1,2008,10,2
Genibo,['animal-like'],fully-mobile,,n/a,0,330,334,192,,1.6,"['hard', 'full', 'undressed']","['grey', 'black']",['entertainment'],['general public'],available ,"['speech recognition', 'face recognition', 'pose tracking', 'preprogrammed behaviors', 'object recognition']","['camera', 'microphone', 'touch', 'IR']","['tactile', 'speech', 'body movement', 'head movement']",['static'],library/API available,1,2008,10,4
HIT-2,['hybrid'],fully-mobile,24,gesture,10,430,,,,3.2,"['hard', 'partial', 'undressed']",['blue'],['entertainment'],['general public'],not available,"['autonomous navigation', 'object recognition']","['IR', 'ultrasonic', 'camera']",['body movement'],['static'],not mentioned ,1,2008,10,1
Porongbot,['biomimetic'],fully-mobile,,n/a,0,281,173,193,,1.4,"['hard', 'full', 'undressed']","['blue', 'yellow', 'white']",['entertainment'],['children'],used to be available,"['preprogrammed behaviors', 'speech synthesis']","['microphone', 'touch']","['touch screen', 'speech', 'lights']",['static'],not mentioned,1,2008,10,3
Steward,['humanoid'],fully-mobile,18,functional,14,1100,600,600,,-1,"['hard', 'full', 'undressed']","['white', 'orange']",['service'],['general public'],not available ,"['autonomous navigation', 'learning abilities']",['ultrasonic'],"['body movement', 'gesture', 'head movement']","['screen', 'static']",not mentioned ,1,2008,10,3
KHR,['hybrid'],fully-mobile,17,gesture,-1,,129,,,1.5,"['hard', 'partial', 'undressed']","['black', 'grey']",['entertainment'],['general public'],available ,['preprogrammed behaviors'],['x'],"['body movement', 'gesture']",['x'],interface available ,1,2009,22,2
Robotech DustCart,['humanoid'],fully-mobile,,n/a,0,1450,750,1000,,150,"['hard', 'full', 'undressed']","['blue', 'metallic']","['service', 'research']","['elderly', 'general public']",available ,"['autonomous navigation', 'teleoperation', 'preprogrammed behaviors']","['laser', 'IR']","['touch screen', 'head movement', 'lights', 'sound', 'speech']",['LED features'],support ROS,1,2009,22,5
Justin,['hybrid'],fully-mobile,51,functional,38,1910,,,,200,"['hard', 'full', 'undressed']","['blue', 'white']",['service'],"['general public', 'research groups']",not available,"['teleoperation', 'preprogrammed behaviors', 'learning abilities', 'autonomous navigation', 'object recognition']","['camera', 'depth camera']","['body movement', 'head movement']",['static'],not mentioned,1,2009,22,2
Cody,['hybrid'],fully-mobile,18,functional,14,1550,650,750,,136,"['hard', 'full', 'undressed']","['grey', 'black']","['research', 'healthcare']","['patients', 'research groups']",not available ,"['compliant actuation', 'preprogrammed behaviors', 'object recognition']","['camera', 'depth camera', 'touch', 'force']","['tactile', 'body movement', 'gesture']",['x'],"support ROS, library/API available ",1,2009,22,3
Tibi,['humanoid'],fully-mobile,9,gesture,4,1600,600,600,,100,"['hard', 'full', 'undressed']","['white', 'orange', 'black']","['research', 'service']","['research groups', 'general public']",not available,"['autonomous navigation', 'speech synthesis']","['camera', 'depth camera', 'laser']","['touch screen', 'body movement', 'head movement', 'facial expression']",['LED features'],support ROS,1,2009,22,4
Dinsow,['humanoid'],fully-mobile,,n/a,0,1200,,,,-1,"['hard', 'full', 'undressed']","['white', 'blue']","['service', 'healthcare']","['general public', 'elderly']",available ,"['face recognition', 'speech recognition', 'sound localization']","['camera', 'microphone']","['facial expression', 'speech', 'body movement', 'head movement', 'lights']",['screen'],not mentioned,1,2009,22,5
Shimon,['hybrid'],on-spot mobile,,functional,-1,,,,,-1,['none'],"['white', 'black']","['entertainment', 'research']",['general public'],not available,['preprogrammed behaviors'],['x'],"['body movement', 'sound', 'facial expression']",['screen'],not mentioned,1,2009,22,3
Dona,['humanoid'],fully-mobile,,gesture,-1,380,,,240,-1,"['hard', 'full', 'dressed']","['red', 'white']",['research'],['general public'],not available,['object recognition'],['ultrasonic'],"['gesture', 'body movement', 'sound']",['static'],not mentioned ,1,2010,27,3
Nico,['humanoid'],on-spot mobile,22,gesture,14,,,,,-1,"['hard', 'partial', 'dressed']",['black'],['research'],['research groups'],not available,"['teleoperation', 'speech synthesis']",['camera'],"['gesture', 'speech']",['fully-actuated'],not mentioned ,1,2010,27,2
ACE,['mechanoid'],fully-mobile,0,n/a,0,1780,,,,160,"['hard', 'partial', 'undressed']",['white'],['service'],['general public'],used to be available,"['autonomous navigation', 'face recognition', 'gesture recognition']","['laser', 'depth camera', 'touch']","['touch screen', 'facial expression', 'speech', 'gesture']",['x'],support ROS,1,2010,27,4
Darwin,['humanoid'],fully-mobile,20,gesture,6,,,,,2.9,"['hard', 'full', 'undressed']",['black'],"['research', 'healthcare']","['general public', 'children']",used to be available,"['speech recognition', 'preprogrammed behaviors']","['camera', 'bumper']","['speech', 'tactile']",['LED features'],"support ROS, library/API available ",1,2010,27,2
Troy,['humanoid'],on-spot mobile,8,gesture,8,635,,,,6.8,"['hard', 'full', 'dressed']","['black', 'blue']",['healthcare'],['children'],not available ,"['teleoperation', 'preprogrammed behaviors']",['x'],"['facial expression', 'speech', 'gesture']",['screen'],not mentioned ,1,2010,27,3
IRL1,['hybrid'],fully-mobile,30,functional,8,1400,,,,70,"['hard', 'partial', 'undressed']","['metallic', 'red']",['research'],['research groups'],not available,"['compliant actuation', 'teleoperation']","['depth camera', 'microphone', 'laser']","['speech', 'gesture', 'body movement', 'head movement']",['fully-actuated'],support ROS,1,2010,27,4
robonaut,['humanoid'],on-spot mobile,42,functional,28,1016,,,,145,"['hard', 'full', 'undressed']","['white', 'brown', 'blue']",['research'],"['corporations', 'research groups']",not available,"['teleoperation', 'preprogrammed behaviors']","['camera', 'depth camera', 'force']","['body movement', 'gesture']",['static'],not mentioned ,1,2010,27,2
Robovie mr2,['humanoid'],on-spot mobile,18,gesture,8,300,,,,2,"['hard', 'full', 'undressed']","['blue', 'yellow']",['entertainment'],"['children', 'general public']",not available ,"['preprogrammed behaviors', 'speech synthesis', 'speech recognition']","['camera', 'microphone']","['speech', 'body movement', 'gesture', 'eye movement', 'head movement']",['partly-actuated'],not mentioned,1,2010,27,5
NAMO,['humanoid'],fully-mobile,19,gesture,14,1300,,,,-1,"['hard', 'partial', 'undressed']","['white', 'pink']",['service'],['general public'],not available,"['face recognition', 'object recognition', 'preprogrammed behaviors', 'speech synthesis', 'WoZ']",['camera'],"['speech', 'gesture', 'body movement', 'head movement']",['static'],not mentioned,1,2010,27,4
Hexbug,['animal-like'],fully-mobile,,n/a,0,,,,,-1,"['hard', 'partial', 'undressed']",['variable'],['entertainment'],['general public'],available ,['teleoperation'],['IR'],"['body movement', 'lights']",['x'],not mentioned ,1,2010,27,2
Autom,"['biomimetic', 'humanoid']",on-spot mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'blue']",['healthcare'],['general public'],used to be available,"['speech synthesis', 'preprogrammed behaviors', 'learning abilities']","['camera', 'microphone']","['touch screen', 'speech', 'head movement', 'eye movement', 'lights']",['partly-actuated'],not mentioned,1,2010,27,5
MeBot,['hybrid'],fully-mobile,,gesture,6,,,,,-1,"['hard', 'full', 'undressed']",['black'],['telepresence'],['general public'],not available,"['face recognition', 'teleoperation']",['IR'],"['gesture', 'speech', 'facial expression']",['screen'],not mentioned,1,2010,27,3
AISoy 1,['biomimetic'],fully-mobile,,n/a,0,223,163,165,,1,"['hard', 'full', 'undressed']","['white', 'variable']",['education'],['children'],available ,"['preprogrammed behaviors', 'learning abilities', 'speech recognition', 'speech synthesis', 'face recognition', 'emotion recognition']","['camera', 'touch', 'temperature', 'microphone']","['speech', 'head movement', 'eye movement', 'lights', 'facial expression', 'tactile']",['partly-actuated'],support ROS ,1,2010,27,6
Sociable Trash Box ,['mechanoid'],fully-mobile,,n/a,0,,,,,-1,"['hard', 'partial', 'undressed']",['variable'],"['research', 'education']",['children'],not available,['autonomous navigation'],"['IR', 'ultrasonic', 'camera']",['body movement'],['x'],not mentioned ,1,2010,27,1
Atom,['humanoid'],fully-mobile,50,functional,24,,,,,72.58,"['hard', 'full', 'undressed']","['white', 'blue']","['service', 'healthcare', 'research']","['general public', 'research groups']",not available,"['gesture recognition', 'speech recognition', 'face recognition', 'autonomous navigation']","['depth camera', 'ultrasonic', 'microphone']","['speech', 'head movement', 'body movement', 'eye movement']",['fully-actuated'],not mentioned,1,2010,27,4
Prison Breach,['humanoid'],fully-mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']",['variable'],['entertainment'],['children'],not available,['preprogrammed behaviors'],"['IR', 'lights']","['body movement', 'lights']",['x'],not mentioned ,1,2010,27,2
Mero-Engkey,['humanoid'],fully-mobile,4,gesture,4,800,,,,90,"['hard', 'full', 'undressed']","['white', 'blue']",['education'],['children'],not available,"['speech recognition', 'speech synthesis']","['microphone', 'ultrasonic', 'bumper']","['gesture', 'body movement', 'screen', 'eye movement', 'facial expression', 'lights']",['partly-actuated'],not mentioned,1,2010,27,6
RobotAssist,['hybrid'],fully-mobile,8,functional,6,1500,,,350,-1,"['hard', 'partial', 'dressed']","['black', 'metallic']",['research'],['research groups'],not available ,"['speech recognition', 'object recognition', 'autonomous navigation']","['microphone', 'camera', 'laser']","['head movement', 'body movement', 'speech']",['static'],interface available ,1,2010,27,3
ServeOne,['humanoid'],fully-mobile,8,gesture,6,1450,500,500,,45,"['hard', 'full', 'undressed']","['white', 'metallic']",['service'],['general public'],available ,['autonomous navigation'],['ultrasonic'],"['body movement', 'lights']",['static'],not mentioned,1,2010,27,2
RoNA,['humanoid'],fully-mobile,8,functional,3,,,,,-1,"['hard', 'full', 'undressed']","['white', 'blue']",['healthcare'],"['general public', 'patients']",not available,['teleoperation'],"['camera', 'microphone']","['body movement', 'facial expression', 'gesture', 'eye movement', 'screen']",['partly-actuated'],support ROS,1,2011,22,5
Romeo,['humanoid'],fully-mobile,37,functional,14,1400,,,,40,"['hard', 'full', 'undressed']","['white', 'blue', 'black']","['research', 'entertainment']","['elderly', 'research groups']",used to be available,"['face recognition', 'autonomous navigation', 'speech recognition', 'speech synthesis']","['camera', 'depth camera']","['body movement', 'gesture', 'eye movement', 'head movement', 'lights', 'speech']",['LED features'],support ROS,1,2011,22,6
Thymio,['mechanoid'],fully-mobile,,n/a,0,110,112,53,,0.27,"['hard', 'full', 'undressed']",['grey'],['education'],['children'],available ,['preprogrammed behaviors'],"['IR', 'touch', 'temperature', 'microphone']","['sound', 'body movement', 'lights']",['x'],interface available ,1,2011,22,3
SALLY,"['mechanoid', 'avatar']",on-spot mobile,2,n/a,0,,,,,-1,['none'],['metallic'],['research'],['research groups'],not available,"['face recognition', 'object recognition']",['camera'],"['facial expression', 'body movement']",['screen'],not mentioned ,1,2011,22,2
JAMES Bartender,['humanoid'],on-spot mobile,14,functional,14,,,,,-1,"['hard', 'partial', 'dressed']","['white', 'yellow']","['service', 'entertainment']","['general public', 'research groups']",not available,"['gesture recognition', 'speech recognition', 'speech synthesis', 'learning abilities']","['camera', 'microphone']","['speech', 'gesture', 'body movement']",['variable'],library/API available,1,2011,22,3
Nancy,['hybrid'],fully-mobile,32,functional,24,1607,,420,,64.14,['none'],['metallic'],"['entertainment', 'service']",['general public'],not available,"['object recognition', 'gesture recognition', 'emotion recognition', 'speech recognition', 'speech synthesis', 'compliant actuation']","['force', 'ultrasonic', 'camera', 'microphone']","['body movement', 'head movement', 'eye movement', 'screen', 'speech']",['fully-actuated'],not mentioned,1,2011,22,5
RoboThespian,['hybrid'],on-spot mobile,27,gesture,20,1750,300,410,,33,"['hard', 'partial', 'undressed']","['white', 'metallic']",['entertainment'],['general public'],available ,"['preprogrammed behaviors', 'speech synthesis']",['x'],"['speech', 'speech', 'gesture', 'head movement', 'eye movement']","['partly-actuated', 'LED features']",library/API available,1,2011,22,5
